trip_id,shopping_time
4310899,2313.238464
4310904,2782.65443
4310907,2318.320431
4310911,1147.602789
4310328,6050.194942
4310306,3524.539274
4311006,5147.698133
4310319,3480.340719
4311215,1705.949896
4311270,1772.528235
4310303,2433.372804
4310316,1320.501761
4310933,5306.278409
4311216,2034.586689
4311650,2631.90095
4311812,2716.523089
4311412,4741.95111
4311860,3181.376772
4311925,3666.996199
4312038,995.1810001
4312253,3705.029074
4312266,3031.501118
4312283,2534.115059
4312290,2372.543732
4312299,2146.944252
4312304,4909.337352
4312311,2146.947302
4312306,4120.573598
4312315,3485.907944
4312325,1930.176801
4312328,2805.101719
4312331,3045.057501
4312334,1745.784406
4312341,3238.217283
4312339,3020.500101
4312340,3981.642964
4312342,3583.910016
4312344,3267.825961
4312347,3586.909957
4312350,1615.207637
4312354,3136.060031
4312352,2567.058091
4312359,2684.689877
4312361,5170.269821
4312362,3117.363995
4312363,3960.269301
4312365,3319.302235
4312366,2328.93442
4312367,3514.506837
4312369,1817.12642
4312371,3759.586521
4312373,2615.6748
4312374,3260.431122
4312379,3450.23218
4312381,2563.235558
4312382,3488.847302
4312384,2243.343945
4312388,2149.29957
4312391,2770.216981
4312393,1099.696319
4312418,2111.517568
4312539,2467.700991
4311913,2628.958512
4312065,3240.848163
4310324,3687.963818
4312530,3797.53646
4312150,2751.670016
4312488,1414.624106
4312454,1798.601143
4312731,4798.395011
4312783,4938.301909
4312826,2812.146038
4312839,1800.764413
4312861,3649.061767
4312888,5084.849662
4312531,2137.430324
4312626,1902.946282
4312532,2841.26525
4312988,3917.413888
4312997,4453.451025
4312624,1394.228491
4312775,2758.826519
4313092,4755.353366
4313094,3468.371326
4312678,1586.652601
4313144,2120.978933
4313264,2919.927099
4313332,4121.330414
4313337,4200.631364
4313345,4433.997041
4313355,2580.426613
4313360,2739.964668
4312742,3339.526597
4313376,8400.160921
4313408,2237.728219
4313426,3707.393764
4313427,2743.893483
4313431,1784.664646
4313432,936.4999658
4313445,2131.071629
4313475,1704.364299
4313494,3290.554571
4313519,3007.710451
4313538,2810.89175
4313586,3609.381711
4313604,1738.070712
4313619,3526.822043
4313625,2382.541612
4313644,3012.310509
4313656,2775.863506
4313671,3390.059055
4312627,2013.124226
4313699,4322.182681
4313718,3451.233992
4313722,4191.849731
4313786,2262.712188
4313821,4068.605542
4313823,4334.012688
4313399,3054.945426
4313880,2321.902276
4313899,1760.545449
4313906,4417.914164
4313947,3099.875868
4313970,3296.895052
4313979,2427.213962
4314007,2967.208131
4314037,2354.756949
4314046,3224.856421
4314049,1783.337401
4314082,2134.193865
4314097,3454.890598
4314105,1204.277154
4314117,3840.9155
4314136,2195.194218
4314208,3548.116733
4314215,2708.010259
4314229,3152.953458
4314250,2094.005366
4314255,1250.686035
4314260,2522.910481
4314262,2352.99393
4314263,2429.962044
4314301,2609.803709
4314303,2900.819437
4314304,1705.669871
4314309,2065.249928
4313291,3819.891521
4313288,3737.260495
4313282,3407.089001
4314264,1647.88124
4314330,2497.684918
4314332,3689.465977
4313297,3649.39495
4314290,1905.504582
4314363,2392.904646
4313949,3244.438739
4314371,1465.087949
4314374,2835.799024
4313788,3647.399917
4314421,3187.362165
4313298,4216.820183
4314454,4240.099662
4314473,4997.862648
4314474,1843.9632
4314479,1704.867876
4314508,2370.094331
4314509,2115.101674
4314513,1687.919979
4313292,1381.092139
4314536,3449.21493
4314544,3560.039673
4314286,3932.079047
4314553,3137.989911
4314558,2504.413855
4314561,3658.507371
4314594,2674.118731
4314422,1252.351258
4314618,3516.921579
4313869,3942.136918
4314689,4616.54849
4314748,4311.031741
4314289,2709.867044
4314755,3035.223195
4314465,1787.135718
4314778,3128.929883
4314780,3379.196375
4314125,2903.013516
4313294,3514.266651
4314797,2227.667385
4314818,3340.467312
